index,tsne1,tsne2,tsne_clusters,filename
83,9.90882,6.398286,5,split_176_19700101_122640_short.WAV
84,10.311826,6.5244994,5,split_177_19700101_122640_short.WAV
85,10.323334,6.711691,5,split_178_19700101_122640_short.WAV
86,10.074981,6.7358365,5,split_179_19700101_122640_short.WAV
87,-11.323103,-5.1378145,3,split_17_19700101_122640_short.WAV
88,9.972608,5.7991614,5,split_180_19700101_122640_short.WAV
89,9.457395,6.0969286,5,split_181_19700101_122640_short.WAV
90,9.4182005,5.446741,5,split_182_19700101_122640_short.WAV
91,8.862052,4.644282,5,split_183_19700101_122640_short.WAV
92,8.490828,5.7047815,5,split_184_19700101_122640_short.WAV
93,9.103978,5.1658278,5,split_185_19700101_122640_short.WAV
94,8.396049,5.9253116,5,split_186_19700101_122640_short.WAV
95,7.7865424,4.54,5,split_187_19700101_122640_short.WAV
96,9.186656,4.5975585,5,split_188_19700101_122640_short.WAV
97,9.031353,4.6717343,5,split_189_19700101_122640_short.WAV
98,-10.6470995,-5.496424,3,split_18_19700101_122640_short.WAV
99,9.132488,4.6460524,5,split_190_19700101_122640_short.WAV
100,8.377035,5.2567415,5,split_191_19700101_122640_short.WAV
101,8.741572,4.9076996,5,split_192_19700101_122640_short.WAV
102,8.7264385,4.5159397,5,split_193_19700101_122640_short.WAV
103,8.118551,4.8678393,5,split_194_19700101_122640_short.WAV
104,8.390226,4.9542913,5,split_195_19700101_122640_short.WAV
105,8.368272,4.675231,5,split_196_19700101_122640_short.WAV
106,9.04677,4.7179904,5,split_197_19700101_122640_short.WAV
107,8.131742,5.2291927,5,split_198_19700101_122640_short.WAV
108,8.222936,4.686576,5,split_199_19700101_122640_short.WAV
109,-11.216843,-5.2322607,3,split_19_19700101_122640_short.WAV
110,-12.800642,-5.800037,3,split_1_19700101_122640_short.WAV
111,7.6432467,3.8116784,5,split_200_19700101_122640_short.WAV
112,7.013789,3.2590055,5,split_201_19700101_122640_short.WAV
113,3.5649083,1.3767686,9,split_202_19700101_122640_short.WAV
